Filter	Peak	Avg	AF	Time
dB-A	72.60	74.14	694	2022/7/11 16:11:39
dB-A	72.68	73.87	301	2022/7/11 16:11:39
dB-A	73.83	73.97	285	2022/7/11 16:11:39
dB-A	74.19	74.10	592	2022/7/11 16:11:39
dB-A	73.64	74.02	516	2022/7/11 16:11:39
dB-A	71.38	74.10	301	2022/7/11 16:11:39
dB-A	72.08	73.57	409	2022/7/11 16:11:39
dB-A	73.41	73.58	317	2022/7/11 16:11:39
dB-A	72.05	73.14	274	2022/7/11 16:11:40
dB-A	71.90	72.78	274	2022/7/11 16:11:40
dB-A	74.23	72.94	398	2022/7/11 16:11:40
dB-A	76.29	73.30	624	2022/7/11 16:11:40
dB-A	76.33	73.55	694	2022/7/11 16:11:40
dB-A	71.86	73.32	371	2022/7/11 16:11:40
dB-A	73.76	73.33	489	2022/7/11 16:11:40
dB-A	77.10	73.90	554	2022/7/11 16:11:40
dB-A	75.19	74.21	290	2022/7/11 16:11:40
dB-A	76.62	74.53	586	2022/7/11 16:11:40
dB-A	74.98	74.83	565	2022/7/11 16:11:41
dB-A	78.94	75.53	581	2022/7/11 16:11:41
dB-A	76.34	75.74	344	2022/7/11 16:11:41
dB-A	79.11	76.02	689	2022/7/11 16:11:41
dB-A	77.94	76.18	220	2022/7/11 16:11:41
dB-A	76.68	76.67	764	2022/7/11 16:11:41
dB-A	80.90	77.38	753	2022/7/11 16:11:41
dB-A	75.56	77.23	576	2022/7/11 16:11:41
dB-A	73.26	77.03	683	2022/7/11 16:11:41
dB-A	73.83	76.75	339	2022/7/11 16:11:41
dB-A	74.51	76.71	312	2022/7/11 16:11:41
dB-A	76.84	76.50	479	2022/7/11 16:11:42
dB-A	78.86	76.75	452	2022/7/11 16:11:42
dB-A	77.27	76.56	1857	2022/7/11 16:11:42
dB-A	75.82	76.35	645	2022/7/11 16:11:42
dB-A	78.76	76.56	1857	2022/7/11 16:11:42
dB-A	80.96	76.57	1927	2022/7/11 16:11:42
dB-A	77.44	76.76	710	2022/7/11 16:11:42
dB-A	74.39	76.87	662	2022/7/11 16:11:42
dB-A	73.33	76.82	576	2022/7/11 16:11:42
dB-A	73.58	76.73	366	2022/7/11 16:11:42
dB-A	74.64	76.50	516	2022/7/11 16:11:42
dB-A	75.04	76.12	645	2022/7/11 16:11:43
dB-A	76.53	76.05	672	2022/7/11 16:11:43
dB-A	77.59	76.23	1684	2022/7/11 16:11:43
dB-A	77.22	76.07	301	2022/7/11 16:11:43
dB-A	76.98	75.67	409	2022/7/11 16:11:43
dB-A	77.56	75.68	629	2022/7/11 16:11:43
dB-A	77.12	75.96	484	2022/7/11 16:11:43
dB-A	75.75	76.20	592	2022/7/11 16:11:43
dB-A	77.16	76.56	306	2022/7/11 16:11:43
dB-A	78.76	76.97	317	2022/7/11 16:11:43
dB-A	75.84	77.05	242	2022/7/11 16:11:43
dB-A	75.93	76.99	608	2022/7/11 16:11:44
dB-A	76.90	76.92	511	2022/7/11 16:11:44
dB-A	75.60	76.76	436	2022/7/11 16:11:44
dB-A	76.59	76.72	220	2022/7/11 16:11:44
dB-A	78.40	76.80	398	2022/7/11 16:11:44
dB-A	78.03	76.90	1781	2022/7/11 16:11:44
dB-A	78.98	77.22	436	2022/7/11 16:11:44
dB-A	78.62	77.36	403	2022/7/11 16:11:44
dB-A	81.14	77.60	333	2022/7/11 16:11:44
dB-A	81.63	78.18	312	2022/7/11 16:11:44
dB-A	76.44	78.23	570	2022/7/11 16:11:45
dB-A	82.12	78.75	1679	2022/7/11 16:11:45
dB-A	81.98	79.39	333	2022/7/11 16:11:45
dB-A	82.44	79.98	285	2022/7/11 16:11:45
dB-A	80.14	80.15	339	2022/7/11 16:11:45
dB-A	80.73	80.42	306	2022/7/11 16:11:45
dB-A	77.46	80.27	236	2022/7/11 16:11:45
dB-A	80.98	80.50	2400	2022/7/11 16:11:45
dB-A	77.95	80.19	231	2022/7/11 16:11:45
dB-A	77.46	79.77	296	2022/7/11 16:11:45
dB-A	77.07	79.83	1668	2022/7/11 16:11:45
dB-A	78.92	79.51	441	2022/7/11 16:11:46
dB-A	79.95	79.31	263	2022/7/11 16:11:46
dB-A	79.48	79.01	398	2022/7/11 16:11:46
dB-A	77.29	78.73	613	2022/7/11 16:11:46
dB-A	77.63	78.42	430	2022/7/11 16:11:46
dB-A	77.82	78.45	317	2022/7/11 16:11:46
dB-A	76.68	78.02	430	2022/7/11 16:11:46
dB-A	79.58	78.19	274	2022/7/11 16:11:46
dB-A	79.42	78.38	285	2022/7/11 16:11:46
dB-A	76.18	78.30	306	2022/7/11 16:11:46
dB-A	75.21	77.92	468	2022/7/11 16:11:46
dB-A	74.73	77.40	301	2022/7/11 16:11:47
dB-A	78.41	77.30	269	2022/7/11 16:11:47
dB-A	80.21	77.59	306	2022/7/11 16:11:47
dB-A	77.88	77.61	296	2022/7/11 16:11:47
